x1,x2,x3,x4,x5,y
100,0,30,0,5,0.356
100,0,50,0,5,0.786
100,0,70,0,5,1.735
100,0,90,0,5,4.087
100,0.5,30,0,5,0.459
100,0.5,50,0,5,0.948
100,0.5,70,0,5,2.028
100,0.5,90,0,5,4.76
100,1,30,0,5,0.55
100,1,50,0,5,1.093
100,1,70,0,5,2.246
100,1,90,0,5,5.218
100,2,30,0,5,0.714
100,2,50,0,5,1.334
100,2,70,0,5,2.618
100,2,90,0,5,5.889
100,0,30,0.1,5,0.296
100,0,50,0.1,5,0.666
100,0,70,0.1,5,1.494
100,0,90,0.1,5,3.534
100,0.5,30,0.1,5,0.392
100,0.5,50,0.1,5,0.816
100,0.5,70,0.1,5,1.772
100,0.5,90,0.1,5,4.205
100,1,30,0.1,5,0.477
100,1,50,0.1,5,0.953
100,1,70,0.1,5,1.997
100,1,90,0.1,5,4.666
100,2,30,0.1,5,0.638
100,2,50,0.1,5,1.203
100,2,70,0.1,5,2.393
100,2,90,0.1,5,5.438
100,0,30,0.2,5,0.237
100,0,50,0.2,5,0.544
100,0,70,0.2,5,1.243
100,0,90,0.2,5,2.98
100,0.5,30,0.2,5,0.324
100,0.5,50,0.2,5,0.687
100,0.5,70,0.2,5,1.508
100,0.5,90,0.2,5,3.642
100,1,30,0.2,5,0.402
100,1,50,0.2,5,0.814
100,1,70,0.2,5,1.716
100,1,90,0.2,5,4.08
100,2,30,0.2,5,0.553
100,2,50,0.2,5,1.039
100,2,70,0.2,5,2.094
100,2,90,0.2,5,4.808
100,0,30,0.3,5,0.186
100,0,50,0.3,5,0.439
100,0,70,0.3,5,1.012
100,0,90,0.3,5,2.433
100,0.5,30,0.3,5,0.262
100,0.5,50,0.3,5,0.565
100,0.5,70,0.3,5,1.26
100,0.5,90,0.3,5,3.068
100,1,30,0.3,5,0.332
100,1,50,0.3,5,0.678
100,1,70,0.3,5,1.45
100,1,90,0.3,5,3.474
100,2,30,0.3,5,0.471
100,2,50,0.3,5,0.888
100,2,70,0.3,5,1.812
100,2,90,0.3,5,4.187
100,0,30,0.4,5,0.143
100,0,50,0.4,5,0.344
100,0,70,0.4,5,0.81
100,0,90,0.4,5,1.965
100,0.5,30,0.4,5,0.211
100,0.5,50,0.4,5,0.464
100,0.5,70,0.4,5,1.041
100,0.5,90,0.4,5,2.581
100,1,30,0.4,5,0.272
100,1,50,0.4,5,0.56
100,1,70,0.4,5,1.215
100,1,90,0.4,5,2.947
100,2,30,0.4,5,0.393
100,2,50,0.4,5,0.75
100,2,70,0.4,5,1.535
100,2,90,0.4,5,3.615
1000,0,30,0,5,0.268
1000,0,50,0,5,0.693
1000,0,70,0,5,1.658
1000,0,90,0,5,4.035
1000,0.5,30,0,5,0.308
1000,0.5,50,0,5,0.77
1000,0.5,70,0,5,1.864
1000,0.5,90,0,5,4.653
1000,1,30,0,5,0.338
1000,1,50,0,5,0.831
1000,1,70,0,5,2.017
1000,1,90,0,5,5.038
1000,2,30,0,5,0.396
1000,2,50,0,5,0.928
1000,2,70,0,5,2.231
1000,2,90,0,5,5.593
1000,0,30,0.1,5,0.229
1000,0,50,0.1,5,0.592
